,image_id,pred_obj,true_obj,iou,occolusion_ratio
0,032353,0,44,0.9421,None
1,032353,1,48,0.7628,Medium
2,032353,2,35,0.7199,Medium
3,032353,3,29,0.9247,Light
4,032353,4,46,0.6571,Heavy
5,032353,5,42,0.4714,Heavy
6,032353,6,38,0.8321,None
7,032353,7,32,0.7443,Medium
8,032353,8,47,0.6726,Heavy
9,032353,9,31,0.7612,Heavy
10,032353,10,43,0.381,Medium
11,032353,11,42,0.4427,Heavy
12,032353,12,43,0.7451,Medium
13,032353,13,27,0.6653,Heavy
14,032353,14,27,0.5143,Heavy
15,023247,15,22,0.7901,None
16,023247,16,18,0.7574,Light
17,023247,17,39,0.6553,Light
18,023247,18,41,0.5606,Heavy
19,023247,19,19,0.9527,Light
20,005741,20,33,0.8414,Light
21,005741,21,40,0.9207,None
22,005741,22,42,0.8021,Light
23,005741,23,27,0.83,None
24,005741,24,50,0.9185,Light
25,005741,25,29,0.5042,Medium
26,005741,26,31,0.5284,Medium
27,005741,27,46,0.5572,Medium
28,005741,28,29,0.5519,Medium
29,005741,29,43,0.6537,Medium
30,005741,30,32,0.7033,Light
31,005741,31,56,0.6137,VeryHeavy
32,005741,32,47,0.7615,Light
33,005741,33,35,0.5339,Light
34,005741,34,58,0.5114,VeryHeavy
35,005741,35,28,0.773,Medium
36,005741,36,19,0.1053,None
37,005741,37,34,0.7609,Undefined
38,005741,38,39,0.6308,Medium
39,005741,39,36,0.6067,Medium
40,005637,40,55,0.9486,None
41,005637,41,53,0.9618,None
42,005637,42,30,0.8318,Light
43,005637,43,60,0.6828,Heavy
44,005637,44,46,0.8187,Light
45,005637,45,45,0.5234,Heavy
46,005637,46,27,0.6502,Heavy
47,005637,47,56,0.7429,VeryHeavy
48,005637,48,43,0.9043,Heavy
49,005637,49,22,0.5353,VeryHeavy
50,005637,50,26,0.4389,VeryHeavy
51,005637,51,42,0.7053,None
52,042080,52,55,0.522,Heavy
53,042080,53,59,0.279,Light
54,042080,54,46,0.8303,Light
55,042080,55,70,0.685,Light
56,030730,56,97,0.954,Light
57,030730,57,114,0.8687,None
58,030730,58,89,0.5813,Medium
59,030730,59,154,0.5022,Undefined
60,030730,60,136,0.4195,None
61,030730,61,113,0.7804,Heavy
62,030730,62,106,0.6462,Light
63,030730,63,148,0.5303,Medium
64,030730,64,122,0.2375,None
65,032830,65,134,0.9204,Light
66,032830,66,138,0.9254,None
67,032830,67,133,0.6265,Medium
68,032830,68,143,0.2092,Heavy
69,032830,69,150,0.633,VeryHeavy
70,022152,70,29,0.7542,Medium
71,041160,71,25,0.8185,Light
72,041160,72,26,0.9119,Light
73,041160,73,37,0.6912,Light
74,041160,74,24,0.7129,Medium
75,041160,75,45,0.6936,Medium
76,041160,76,49,0.7561,None
77,041160,77,39,0.8813,None
78,041160,78,44,0.8014,None
79,041160,79,47,0.8477,None
80,041160,80,55,0.5023,Medium
81,041160,81,53,0.6409,Light
82,041160,82,59,0.4368,Heavy
83,014660,83,31,0.968,None
84,014660,84,34,0.6916,Medium
85,014660,85,28,0.8138,None
86,014660,86,29,0.4108,Heavy
87,014660,87,30,0.3614,Heavy
88,014660,88,41,0.1797,Heavy
89,014660,89,41,0.4315,Heavy
90,026456,90,70,0.9584,None
91,026456,91,75,0.8905,Light
92,026456,92,71,0.9367,Light
93,026456,93,79,0.621,Light
94,038764,94,168,0.9244,None
95,038764,95,194,0.8301,None
96,038764,96,216,0.7705,None
97,038764,97,160,0.5762,Medium
98,038764,98,219,0.8609,Light
99,038764,99,182,0.619,Medium
100,038764,100,195,0.7659,Medium
101,038764,101,172,0.83,Light
102,038764,102,201,0.5948,None
103,038764,103,182,0.2729,Medium
104,038764,104,171,0.2739,Heavy
105,038764,105,180,0.5769,Heavy
106,038764,106,196,0.1952,Undefined
107,038764,107,204,0.6845,Medium
108,042344,108,70,0.9537,None
109,042344,109,71,0.5863,Medium
110,042344,110,76,0.8587,Medium
111,042344,111,80,0.6517,None
112,042344,112,73,0.6753,None
113,042344,113,82,0.6458,Light
114,042344,114,87,0.5656,VeryHeavy
115,042344,115,78,0.6454,None
116,042344,116,77,0.7351,None
117,042344,117,74,0.6757,Light
118,042344,118,79,0.5909,Light
119,042344,119,78,0.406,None
120,020834,120,128,0.8953,None
121,020834,121,117,0.6239,Light
122,020834,122,129,0.6854,Light
123,020834,123,145,0.2468,VeryHeavy
124,020834,124,121,0.8595,None
125,020834,125,134,0.876,Light
126,020834,126,137,0.0539,Medium
127,020834,127,121,0.3675,None
128,020834,128,137,0.7038,Medium
129,039570,129,57,0.8347,Light
130,039570,130,56,0.8062,None
131,039570,131,47,0.767,Light
132,039570,132,52,0.7143,Light
133,039570,133,40,0.8448,Light
134,039570,134,34,0.6966,Light
135,039570,135,41,0.7635,Light
136,039570,136,49,0.6894,Medium
137,039570,137,44,0.6954,Light
138,039570,138,37,0.6279,Medium
139,039570,139,58,0.6904,Heavy
140,034840,140,52,0.9653,None
141,034840,141,51,0.9124,None
142,034840,142,101,0.8787,Light
143,034840,143,79,0.9546,None
144,034840,144,71,0.942,None
145,034840,145,86,0.4235,Light
146,034840,146,84,0.8424,None
147,034840,147,70,0.3299,Medium
148,034840,148,64,0.5533,Heavy
149,034840,149,82,0.4223,Medium
150,034840,150,59,0.613,Light
151,034840,151,95,0.4714,Heavy
152,034840,152,94,0.7668,Medium
153,034840,153,83,0.6779,Light
154,034840,154,54,0.2024,Heavy
155,019985,155,6,0.8039,Light
156,019985,156,17,0.9274,None
157,019985,157,8,0.8493,None
158,019985,158,36,0.4721,Heavy
159,019985,159,9,0.6522,VeryHeavy
160,019985,160,16,0.3475,None
161,019985,161,7,0.6446,VeryHeavy
162,019985,162,44,0.7038,Undefined
163,019985,163,22,0.6494,Heavy
164,019985,164,26,0.3569,None
165,019985,165,30,0.4047,Medium
166,019985,166,35,0.3865,Medium
167,039444,167,36,0.9112,None
168,008978,168,61,0.8079,None
