image_id,tp,fp,fn,tn,precision,recall,accuracy
000015,1,4,25,77,0.2,0.038,0.729
000040,6,8,55,85,0.429,0.098,0.591
000041,2,1,4,66,0.667,0.333,0.932
000042,9,5,20,119,0.643,0.31,0.837
000053,14,7,40,36,0.667,0.259,0.515
000061,4,3,8,99,0.571,0.333,0.904
000066,3,2,17,64,0.6,0.15,0.779
000106,8,1,11,54,0.889,0.421,0.838
000109,4,1,22,100,0.8,0.154,0.819
000114,5,3,18,104,0.625,0.217,0.838
000117,3,0,23,26,1.0,0.115,0.558
000120,10,1,14,102,0.909,0.417,0.882
000132,2,0,5,70,1.0,0.286,0.935
000133,4,0,11,69,1.0,0.267,0.869
000149,3,2,9,62,0.6,0.25,0.855
000153,5,2,7,66,0.714,0.417,0.887
000158,3,1,12,48,0.75,0.2,0.797
000174,11,1,7,39,0.917,0.611,0.862
000176,6,1,24,57,0.857,0.2,0.716
000177,5,1,19,92,0.833,0.208,0.829
000216,2,0,4,47,1.0,0.333,0.925
000226,4,4,22,52,0.5,0.154,0.683
000229,3,1,12,60,0.75,0.2,0.829
000237,4,2,14,123,0.667,0.222,0.888
000254,9,6,55,70,0.6,0.141,0.564
000257,4,2,5,86,0.667,0.444,0.928
000304,4,6,23,59,0.4,0.148,0.685
000311,6,2,20,60,0.75,0.231,0.75
000318,11,3,28,96,0.786,0.282,0.775
000331,2,0,22,94,1.0,0.083,0.814
000362,0,5,11,117,0.0,0.0,0.88
000363,13,6,23,108,0.684,0.361,0.807
000370,16,4,21,58,0.8,0.432,0.747
000378,4,2,11,53,0.667,0.267,0.814
000396,6,4,15,69,0.6,0.286,0.798
000419,4,1,12,50,0.8,0.25,0.806
000433,5,0,30,98,1.0,0.143,0.774
000437,16,2,16,42,0.889,0.5,0.763
000455,4,1,29,86,0.8,0.121,0.75
000463,6,0,24,79,1.0,0.2,0.78
000487,7,3,46,37,0.7,0.132,0.473
000497,6,2,10,83,0.75,0.375,0.881
000510,5,2,27,48,0.714,0.156,0.646
000515,3,2,12,50,0.6,0.2,0.791
000527,4,5,23,111,0.444,0.148,0.804
000551,11,6,20,81,0.647,0.355,0.78
000553,9,0,10,47,1.0,0.474,0.848
000570,11,7,36,99,0.611,0.234,0.719
000571,8,2,45,54,0.8,0.151,0.569
000572,7,0,4,21,1.0,0.636,0.875
000575,11,7,19,34,0.611,0.367,0.634
000577,6,0,16,21,1.0,0.273,0.628
000593,5,1,28,64,0.833,0.152,0.704
000596,7,3,15,71,0.7,0.318,0.812
000598,14,4,19,41,0.778,0.424,0.705
000604,6,4,28,89,0.6,0.176,0.748
000609,5,1,11,56,0.833,0.312,0.836
000628,1,5,0,12,0.167,1.0,0.722
000631,9,2,17,70,0.818,0.346,0.806
000636,1,2,9,48,0.333,0.1,0.817
000641,3,2,14,57,0.6,0.176,0.789
000644,2,0,0,15,1.0,1.0,1.0
000653,7,1,26,80,0.875,0.212,0.763
000664,12,5,14,101,0.706,0.462,0.856
000675,8,3,30,66,0.727,0.211,0.692
000678,6,3,24,43,0.667,0.2,0.645
000710,6,1,10,48,0.857,0.375,0.831
000745,4,3,17,77,0.571,0.19,0.802
000747,2,1,31,96,0.667,0.061,0.754
000750,2,1,9,71,0.667,0.182,0.88
000766,2,0,11,64,1.0,0.154,0.857
000768,7,0,13,32,1.0,0.35,0.75
000771,5,4,28,35,0.556,0.152,0.556
000778,7,6,25,52,0.538,0.219,0.656
000798,7,2,27,110,0.778,0.206,0.801
000809,13,3,9,44,0.812,0.591,0.826
000822,9,5,22,37,0.643,0.29,0.63
000834,9,7,21,51,0.562,0.3,0.682
000852,3,2,28,30,0.6,0.097,0.524
000855,7,6,46,30,0.538,0.132,0.416
