,image_id,tp,fp,fn,precision,recall
0,012120,6,0,23,1.0,0.207
1,011386,7,1,14,0.875,0.333
2,001460,5,0,14,1.0,0.263
3,034554,10,0,7,1.0,0.588
4,025321,4,0,8,1.0,0.333
5,010229,14,0,25,1.0,0.359
6,015456,13,4,48,0.765,0.213
7,012318,2,0,6,1.0,0.25
8,042894,16,1,8,0.941,0.667
9,047619,1,1,12,0.5,0.077
10,033896,3,0,15,1.0,0.167
11,047341,7,0,6,1.0,0.538
12,027717,10,0,18,1.0,0.357
13,015223,3,0,21,1.0,0.125
14,017172,13,1,27,0.929,0.325
15,007097,0,2,2,0.0,0.0
16,037720,5,0,4,1.0,0.556
17,041365,1,0,5,1.0,0.167
18,028082,11,1,38,0.917,0.224
19,017222,5,0,10,1.0,0.333
20,008859,10,0,7,1.0,0.588
21,037350,1,1,6,0.5,0.143
22,009633,5,0,11,1.0,0.312
23,011003,5,0,20,1.0,0.2
24,002438,16,0,11,1.0,0.593
25,033767,1,2,4,0.333,0.2
26,045102,10,0,13,1.0,0.435
27,023227,6,0,18,1.0,0.25
28,043301,4,0,14,1.0,0.222
29,011629,3,0,5,1.0,0.375
30,002751,8,0,18,1.0,0.308
31,042497,11,1,18,0.917,0.379
32,036417,14,3,27,0.824,0.341
33,021334,5,0,19,1.0,0.208
34,021082,14,0,11,1.0,0.56
35,035608,8,0,10,1.0,0.444
36,031597,9,1,33,0.9,0.214
37,040527,3,0,6,1.0,0.333
38,005228,4,0,5,1.0,0.444
39,006689,9,0,14,1.0,0.391
40,029490,10,0,13,1.0,0.435
41,046119,12,1,7,0.923,0.632
42,017957,6,1,11,0.857,0.353
43,048503,2,0,13,1.0,0.133
44,000386,10,1,7,0.909,0.588
45,009459,8,0,8,1.0,0.5
46,028866,3,0,5,1.0,0.375
47,002539,5,0,20,1.0,0.2
48,015564,4,1,5,0.8,0.444
49,015670,13,1,26,0.929,0.333
50,022185,0,1,0,0.0,0.0
51,033702,11,0,14,1.0,0.44
52,048084,11,1,16,0.917,0.407
53,040854,5,0,20,1.0,0.2
54,006002,9,0,16,1.0,0.36
55,033512,11,1,13,0.917,0.458
56,030034,2,0,11,1.0,0.154
57,003354,22,1,33,0.957,0.4
58,019036,5,1,12,0.833,0.294
59,004405,5,0,18,1.0,0.217
60,013093,2,0,8,1.0,0.2
61,011035,18,0,14,1.0,0.562
62,042773,2,1,12,0.667,0.143
63,017056,3,1,2,0.75,0.6
64,003850,4,1,27,0.8,0.129
65,014292,16,0,13,1.0,0.552
66,027100,3,0,17,1.0,0.15
67,010168,4,0,0,1.0,1.0
68,026419,1,1,11,0.5,0.083
69,003122,0,6,8,0.0,0.0
70,032415,7,0,20,1.0,0.259
71,037660,9,0,19,1.0,0.321
72,040093,12,0,27,1.0,0.308
73,030849,19,1,45,0.95,0.297
74,026717,8,1,55,0.889,0.127
75,046078,2,0,2,1.0,0.5
76,016001,18,1,24,0.947,0.429
77,036533,1,0,15,1.0,0.062
78,037011,4,0,7,1.0,0.364
79,017211,9,0,18,1.0,0.333
80,006448,8,0,17,1.0,0.32
81,022432,9,0,15,1.0,0.375
82,018382,6,0,9,1.0,0.4
83,014025,18,0,22,1.0,0.45
84,030341,8,0,16,1.0,0.333
85,033337,9,0,20,1.0,0.31
86,037973,8,0,8,1.0,0.5
87,029708,10,0,2,1.0,0.833
88,041051,1,0,0,1.0,1.0
89,015081,19,0,20,1.0,0.487
90,045270,1,0,2,1.0,0.333
91,031325,3,0,22,1.0,0.12
92,030198,5,1,38,0.833,0.116
93,026822,9,1,26,0.9,0.257
94,006465,8,0,9,1.0,0.471
95,036535,4,1,7,0.8,0.364
96,008565,3,0,14,1.0,0.176
97,005093,1,0,3,1.0,0.25
98,020564,0,2,2,0.0,0.0
99,012747,2,0,14,1.0,0.125
100,018003,6,0,8,1.0,0.429
101,034162,3,0,13,1.0,0.187
102,029084,6,0,23,1.0,0.207
103,035659,8,0,4,1.0,0.667
104,046121,11,0,16,1.0,0.407
105,017599,4,0,12,1.0,0.25
106,046949,12,0,15,1.0,0.444
107,018153,3,0,3,1.0,0.5
108,023951,1,0,13,1.0,0.071
109,038739,19,1,24,0.95,0.442
110,001555,6,0,45,1.0,0.118
111,021246,15,0,18,1.0,0.455
112,044281,10,0,16,1.0,0.385
113,039355,5,0,12,1.0,0.294
114,032925,9,0,29,1.0,0.237
115,032745,4,1,15,0.8,0.211
116,033717,10,0,9,1.0,0.526
117,017797,3,0,12,1.0,0.2
118,030752,11,0,4,1.0,0.733
119,036842,4,0,6,1.0,0.4
120,033014,2,0,15,1.0,0.118
121,027399,9,0,5,1.0,0.643
122,005212,17,0,51,1.0,0.25
123,031601,1,0,2,1.0,0.333
124,005339,4,1,7,0.8,0.364
125,023550,8,0,14,1.0,0.364
126,014821,7,1,3,0.875,0.7
127,046010,7,0,5,1.0,0.583
128,009491,0,1,5,0.0,0.0
129,044884,3,0,2,1.0,0.6
130,043227,7,0,9,1.0,0.437
131,031678,9,0,4,1.0,0.692
132,031691,5,0,20,1.0,0.2
133,018176,11,1,7,0.917,0.611
134,012627,7,1,14,0.875,0.333
135,049132,4,0,5,1.0,0.444
136,003172,12,0,18,1.0,0.4
137,011905,6,0,14,1.0,0.3
138,020331,6,0,7,1.0,0.462
139,049653,1,0,2,1.0,0.333
140,002042,13,1,26,0.929,0.333
141,013590,4,2,1,0.667,0.8
142,005786,8,0,17,1.0,0.32
143,040276,4,3,15,0.571,0.211
144,049417,3,1,6,0.75,0.333
145,032519,4,0,15,1.0,0.211
146,039095,1,0,17,1.0,0.056
147,009712,7,0,5,1.0,0.583
148,011901,5,0,7,1.0,0.417
149,004258,3,0,5,1.0,0.375
150,015593,7,0,16,1.0,0.304
151,033908,4,0,14,1.0,0.222
152,042375,9,0,13,1.0,0.409
153,003066,6,1,12,0.857,0.333
154,014573,3,1,18,0.75,0.143
155,030935,4,0,25,1.0,0.138
156,038647,11,1,12,0.917,0.478
157,033033,10,0,28,1.0,0.263
158,008843,15,1,4,0.937,0.789
159,001020,4,0,7,1.0,0.364
160,012157,5,0,11,1.0,0.312
161,041226,6,0,21,1.0,0.222
162,023726,5,0,6,1.0,0.455
163,009767,5,0,6,1.0,0.455
164,021223,12,1,15,0.923,0.444
165,002199,10,0,15,1.0,0.4
166,032023,2,0,1,1.0,0.667
167,022294,1,0,1,1.0,0.5
168,015131,3,0,9,1.0,0.25
169,047823,4,0,0,1.0,1.0
170,008264,5,0,46,1.0,0.098
171,007435,6,0,18,1.0,0.25
172,040122,10,1,18,0.909,0.357
173,007011,5,0,11,1.0,0.312
174,012483,2,1,4,0.667,0.333
175,001148,8,0,27,1.0,0.229
176,041682,7,0,11,1.0,0.389
177,028984,8,0,18,1.0,0.308
178,044189,5,1,8,0.833,0.385
179,023112,6,1,4,0.857,0.6
180,012308,17,0,21,1.0,0.447
181,011958,10,0,11,1.0,0.476
182,039119,4,0,21,1.0,0.16
183,009379,13,1,11,0.929,0.542
184,027054,7,0,10,1.0,0.412
185,002527,12,0,3,1.0,0.8
186,017945,2,1,6,0.667,0.25
187,009653,8,1,18,0.889,0.308
188,010625,1,0,5,1.0,0.167
189,013368,4,0,16,1.0,0.2
190,032402,12,0,10,1.0,0.545
191,029534,6,1,15,0.857,0.286
192,028345,19,1,21,0.95,0.475
193,006563,6,0,28,1.0,0.176
194,015146,10,0,14,1.0,0.417
195,030431,7,0,23,1.0,0.233
196,010994,2,0,4,1.0,0.333
197,030323,13,1,10,0.929,0.565
198,036230,4,0,10,1.0,0.286
199,024315,1,0,8,1.0,0.111
200,043218,5,1,24,0.833,0.172
201,004722,13,0,38,1.0,0.255
202,013282,17,2,30,0.895,0.362
203,017906,7,0,12,1.0,0.368
204,020971,7,0,1,1.0,0.875
205,021549,13,0,16,1.0,0.448
206,016766,2,0,8,1.0,0.2
207,048227,20,1,10,0.952,0.667
208,033232,3,0,5,1.0,0.375
209,027733,2,0,2,1.0,0.5
210,021863,3,0,6,1.0,0.333
