,image_id,time,country_code,weather,road_type,road_condition,time_of_day,num_vehicles,longitude,latitude,solar_angle_elevation
2,000002,1618761859.891679,0,4,0,0,0,3,21.030445645106088,52.239373171498464,13.700386768090723
19,000019,1618653802.667175,0,4,0,1,0,6,20.9858791123351,52.26850734422118,47.99710348941085
28,000028,1619536088.885988,0,4,0,0,0,28,20.994066129478195,52.257978543846434,24.286147546500047
30,000030,1618936288.223063,0,2,0,0,0,28,20.96529868270684,52.23714008083136,10.11786086216982
31,000031,1619681732.109598,0,4,0,0,0,17,20.942629961957742,52.23916593612567,38.45653061714751
56,000056,1618654973.886152,0,4,0,1,0,33,21.013741876672427,52.22616169496975,48.476252151944415
59,000059,1619416257.772772,0,0,0,0,0,27,21.031962097998,52.20708580796004,22.469413832023704
67,000067,1619596931.110844,0,0,0,0,0,30,21.00729215111715,52.23493059700697,41.66614746813188
71,000071,1619520328.328982,0,2,0,0,0,17,21.05399579789461,52.23463348276311,51.8278098020304
72,000072,1620115912.996989,0,4,0,0,0,24,20.99314312178566,52.24159911676331,44.37943263931537
82,000082,1618761424.217922,0,4,0,0,0,14,21.012349966358883,52.23980286742333,14.775813262193608
88,000088,1619513715.557807,0,2,0,0,0,19,21.03577145258794,52.253938296933725,47.089376171202694
98,000098,1618938713.329852,0,2,0,0,0,28,21.03536461721442,52.25119946285801,4.178346178419375
104,000104,1619265313.774677,0,2,0,0,0,29,20.971828980066025,52.23740073844137,47.736113024594154
116,000116,1618315448.337637,0,6,0,0,0,21,20.98003755023934,52.229724363046294,43.6400101437631
123,000123,1618760111.330186,0,4,0,0,0,11,21.015596810305066,52.22030390420712,18.12013425213486
130,000130,1618511782.217218,0,6,0,0,2,3,21.023386551592935,52.227890503671595,-9.204090066596379
137,000137,1618654156.106294,0,4,0,1,0,5,20.998629322708176,52.24952952848945,48.193911244722536
146,000146,1620140063.105986,0,4,0,0,0,14,21.018882861125068,52.23714806134005,27.896080483026424
148,000148,1619682984.329557,0,4,0,0,0,18,21.01600953678914,52.230653224608524,41.21469440418669
162,000162,1619701835.891133,0,4,0,0,0,52,21.024050267381057,52.19945020684259,41.37178916272486
170,000170,1618901912.113206,0,2,0,0,0,22,21.020125200616683,52.173607164719435,30.85291442528017
173,000173,1619252712.222499,0,2,0,0,0,43,20.958792924911545,52.23172860135275,43.118309018455086
178,000178,1619514543.105334,0,2,0,0,0,59,20.96574586452484,52.23357305461794,48.27872628558534
189,000189,1618401185.109867,0,6,0,1,0,19,20.97264330024482,52.23726254002567,44.76744871539466
206,000206,1620114475.999779,0,4,0,0,0,20,21.02085150980229,52.210818624933964,41.51860164078165
209,000209,1619702759.107483,0,4,0,0,0,55,21.01179723607967,52.23022626248881,39.4748723646732
233,000233,1619265622.113889,0,2,0,0,0,23,20.951784467743895,52.2274884611289,47.35903538774122
236,000236,1618383932.558681,0,6,0,1,0,25,20.99214175129885,52.23175964639415,29.839073294764795
238,000238,1619693366.775557,0,4,0,0,0,16,21.004908237704846,52.216826962559985,52.40286051068428
255,000255,1619423395.002739,0,2,0,0,0,37,20.992151853153572,52.23174333060329,39.459417311258775
306,000306,1619702553.003849,0,4,0,0,0,18,21.016012382952056,52.22316946872265,39.83948314754971
317,000317,1618471016.780794,0,6,0,1,0,27,20.988637251420197,52.23123342800198,31.772358849010438
319,000319,1618823546.441027,0,2,0,0,0,17,20.963985686501545,52.27531760088314,45.894786164149096
322,000322,1619248773.224542,0,2,0,0,0,28,20.964503647320335,52.21538802014237,34.89782072289424
328,000328,1619596588.105431,0,0,0,0,0,22,20.98723084643152,52.23076487928531,40.9167658592055
340,000340,1618831962.216973,0,2,0,0,0,16,20.95106061009671,52.22734201218327,47.708967807339114
344,000344,1619682480.888083,0,4,0,0,0,14,20.993362772209924,52.23131765322971,40.18948430514285
354,000354,1619263286.106799,0,2,0,0,0,58,20.978770851783285,52.278002992182344,49.777897839730414
357,000357,1618398727.668136,0,6,0,1,0,18,20.99418053254488,52.25799616313125,46.87911545516629
366,000366,1619702584.004429,0,4,0,0,0,38,21.014476234364423,52.22543980798041,39.73564632065505
399,000399,1619695993.67012,0,4,0,0,0,19,20.994218745275408,52.24091699332306,50.69090440786082
423,000423,1619702372.667307,0,4,0,0,0,48,21.01566695649787,52.21667416626184,40.18632947917451
434,000434,1620115546.224427,0,4,0,0,0,29,20.965924900929004,52.237057095220884,43.70473582769444
435,000435,1619523495.448432,0,2,0,0,0,36,21.03289688096916,52.25404283767361,49.77849636819773
441,000441,1619862570.002486,0,6,0,0,0,6,20.988123142189263,52.21027926880924,52.10271296568776
453,000453,1618765548.887344,0,4,0,0,0,37,20.95123209289394,52.2286852176743,4.619381195700768
458,000458,1618486607.443787,0,6,0,1,0,17,20.991208738249,52.24470734155097,46.1520429576821
466,000466,1618763426.884491,0,4,0,0,0,25,20.971878122367105,52.23725168156903,9.790625573998241
468,000468,1619373868.662668,0,3,0,0,1,28,21.004906566363093,52.222988278693016,-2.238948093459882
469,000469,1618829896.113989,0,2,0,0,0,25,20.96371030687109,52.275313461752916,48.968770973215726
471,000471,1619264657.997171,0,2,0,0,0,17,20.981689509378167,52.25489236971815,48.50438345612951
472,000472,1618654132.772492,0,4,0,0,0,33,20.99840556803649,52.25052384522035,48.17240715879173
494,000494,1618902025.115096,0,2,0,0,0,22,21.03085280012806,52.17346776485411,31.095558021899684
500,000500,1618491029.886547,0,6,0,1,0,34,21.02086520866795,52.21108775493138,39.95052220093661
502,000502,1620114144.663131,0,4,0,0,0,24,21.013638049778354,52.22638937636412,40.74465324990541
512,000512,1619074170.779092,0,4,0,0,0,23,21.082391028610896,52.231330973476794,30.140679926112185
524,000524,1618397288.110284,0,6,0,1,0,34,20.968441747124924,52.23680608922778,47.44274735464248
526,000526,1618485488.891075,0,6,0,1,0,8,21.030247646207062,52.239302889963774,47.01398108276514
528,000528,1619595883.327706,0,0,0,0,0,11,20.954515706770934,52.22699070722456,39.451186634967385
531,000531,1618762013.994351,0,4,0,0,0,17,21.04270439373828,52.23860504138106,13.384106503974309
541,000541,1619265452.110833,0,2,0,0,0,18,20.961123163476927,52.23262763133131,47.56167081497165
556,000556,1619702399.667841,0,4,0,0,0,3,21.015432844080372,52.21810693913957,40.18632947917451
561,000561,1620140361.443738,0,4,0,0,0,12,21.02556544790758,52.23718445832497,27.08921410338526
568,000568,1619245782.776645,0,2,0,0,0,23,21.03769839905272,52.25222217442946,27.774466151604607
583,000583,1619372429.10514,0,3,0,0,0,16,21.06251242840177,52.187891474800956,1.3056816713301487
590,000590,1620139814.002387,0,4,0,0,0,13,21.0109161536286,52.2356674736211,28.501930519459314
610,000610,1619263324.440791,0,2,0,0,0,13,20.98067393604953,52.27570284459788,49.7494032817835
646,000646,1618935777.114875,0,4,0,0,0,8,20.942849151405344,52.226458253133586,11.48881540615217
652,000652,1619865158.780038,0,6,0,1,0,2,21.041051166530533,52.26566266312644,53.09176814494911
665,000665,1619071412.002472,0,6,0,1,0,37,21.04546694055029,52.24758348155505,23.318996910666797
687,000687,1618654697.781666,0,4,0,1,0,26,21.008062130220246,52.23568351900306,48.40664324476731
689,000689,1619264578.995776,0,2,0,0,0,16,20.983216035620117,52.25407028983127,48.593918050960696
692,000692,1619699811.22242,0,4,0,0,0,34,21.012130558502857,52.173632816466714,45.340350351009334
703,000703,1618938995.667922,0,2,0,0,0,32,21.045918423823124,52.248198157360164,3.4157943757066533
714,000714,1619252388.550409,0,2,0,0,0,27,20.936306685994268,52.22508610230938,42.46150599232443
