image_id,pred_obj,true_obj,iou,occolusion_ratio
000011,14653,146,0.8063,Medium
000011,14655,161,0.6941,Light
000011,14656,147,0.4128,VeryHeavy
000011,14657,144,0.6314,Light
000011,14658,89,0.5107,None
000011,14659,84,0.3845,Heavy
000011,14660,123,0.7778,None
000011,14661,117,0.6274,None
000011,14654,118,0.5422,Heavy
000014,20856,82,0.6814,Medium
000034,3419,91,0.9365,None
000034,3420,93,0.8669,Light
000034,3421,106,0.8785,None
000034,3422,101,0.9707,None
000034,3423,78,0.9048,None
000034,3425,60,0.7555,Light
000034,3426,67,0.7804,None
000034,3427,95,0.7619,Medium
000034,3428,71,0.9081,Light
000034,3429,86,0.7146,None
000034,3430,105,0.576,Light
000034,3431,59,0.6136,Medium
000034,3432,66,0.6446,Light
000034,3433,97,0.6226,Medium
000034,3424,79,0.7677,Light
000035,2891,133,0.6227,Light
000035,2890,122,0.9511,None
000035,2889,129,0.8594,Light
000035,2888,125,0.9383,None
000057,17347,80,0.5762,Undefined
000057,17339,58,0.768,None
000057,17340,71,0.8211,Light
000057,17341,68,0.8823,None
000057,17342,49,0.717,Light
000057,17343,75,0.8059,None
000057,17344,51,0.6379,Light
000057,17345,59,0.65,Medium
000057,17346,67,0.777,Medium
000057,17348,62,0.4937,Light
000084,8231,120,0.9003,None
000084,8232,110,0.6604,Heavy
000084,8230,98,0.9032,None
000084,8229,104,0.8569,None
000090,33311,12,0.3654,None
000090,33308,5,0.8847,None
000090,33309,16,0.2061,Undefined
000090,33310,8,0.6688,None
000090,33315,9,0.259,None
000090,33314,12,0.3465,None
000090,33313,13,0.0893,Undefined
000090,33312,14,0.3244,Medium
000102,5560,34,0.761,Light
000102,5561,37,0.6626,Light
000102,5562,33,0.8461,None
000102,5563,54,0.7993,Light
000102,5558,41,0.9523,None
000102,5557,42,0.8661,None
000102,5559,31,0.8138,None
000102,5564,64,0.5365,Light
000102,5565,54,0.5735,Light
000107,17922,39,0.8648,Light
000107,17920,54,0.8822,Light
000107,17921,50,0.9674,None
000144,8648,36,0.8107,Medium
000144,8642,53,0.8766,None
000144,8643,57,0.9015,None
000144,8644,44,0.9389,None
000144,8645,56,0.8525,Medium
000144,8646,59,0.7637,VeryHeavy
000144,8647,39,0.3969,Light
000144,8649,34,0.8589,None
000147,31180,68,0.8561,None
000147,31179,58,0.5673,None
000147,31181,59,0.62,VeryHeavy
000147,31182,46,0.3017,None
000159,31824,55,0.292,Heavy
000159,31823,53,0.4698,Light
000159,31822,50,0.7327,Medium
000159,31821,67,0.7642,Heavy
000159,31820,65,0.8942,None
000159,31819,26,0.8718,Light
000159,31818,40,0.9311,None
000193,26894,79,0.9068,None
000193,26895,81,0.8785,None
000193,26898,57,0.5378,Light
000193,26897,65,0.6971,Light
000193,26899,83,0.7742,None
000193,26900,46,0.6472,Light
000193,26901,68,0.7472,Light
000193,26902,53,0.7019,Medium
000193,26896,50,0.8161,None
000197,25348,56,0.872,None
000197,25347,53,0.9187,None
000197,25346,57,0.9304,None
000201,165,41,0.7244,None
000207,31430,69,0.72,Heavy
000207,31429,78,0.436,Medium
000207,31428,74,0.6421,Heavy
000207,31427,67,0.77,Medium
000207,31426,75,0.8343,Light
000207,31425,58,0.9472,None
000231,24805,74,0.8978,Light
000231,24806,55,0.8777,None
000231,24807,78,0.5165,Medium
000231,24808,82,0.8633,None
000231,24809,86,0.8824,Light
000232,24084,68,0.6786,Medium
000232,24083,91,0.7129,VeryHeavy
000232,24082,96,0.5245,VeryHeavy
000232,24077,95,0.9575,None
000232,24081,101,0.7621,Light
000232,24085,78,0.5719,Medium
000232,24079,97,0.9236,None
000232,24078,73,0.9568,None
000232,24080,87,0.8662,Light
000241,29159,57,0.6544,Light
000241,29158,78,0.6933,Light
000241,29157,61,0.6291,Light
000241,29156,55,0.8857,None
000241,29160,89,0.4268,Medium
000241,29153,66,0.9272,None
000241,29155,99,0.3131,Medium
000241,29154,60,0.8446,None
