,image_id,image_path,collector
0,157,single_frames_img/000157/camera_front_blur/000157_india_2021-04-15T15:15:24.109285Z.jpg,india
1,2099,single_frames_img/002099/camera_front_blur/002099_golf_2020-10-09T11:06:52.556578Z.jpg,golf
2,2186,single_frames_img/002186/camera_front_blur/002186_golf_2020-10-09T11:05:32.555410Z.jpg,golf
3,3508,single_frames_img/003508/camera_front_blur/003508_india_2020-10-08T09:25:10.111009Z.jpg,india
4,4080,single_frames_img/004080/camera_front_blur/004080_golf_2020-10-08T07:49:52.780033Z.jpg,golf
5,4090,single_frames_img/004090/camera_front_blur/004090_india_2021-04-15T15:15:41.109561Z.jpg,india
6,4641,single_frames_img/004641/camera_front_blur/004641_golf_2020-10-09T11:29:48.442905Z.jpg,golf
7,6047,single_frames_img/006047/camera_front_blur/006047_golf_2020-10-09T10:13:09.778893Z.jpg,golf
8,6777,single_frames_img/006777/camera_front_blur/006777_golf_2021-05-02T09:04:24.885782Z.jpg,golf
9,7358,single_frames_img/007358/camera_front_blur/007358_golf_2020-10-09T11:43:01.887372Z.jpg,golf
10,7713,single_frames_img/007713/camera_front_blur/007713_golf_2020-10-09T11:17:57.332663Z.jpg,golf
11,7842,single_frames_img/007842/camera_front_blur/007842_india_2020-10-08T08:05:41.668178Z.jpg,india
12,7959,single_frames_img/007959/camera_front_blur/007959_india_2020-11-16T12:51:27.997000Z.jpg,india
13,8635,single_frames_img/008635/camera_front_blur/008635_oscar_2021-04-16T12:47:37.888745Z.jpg,oscar
14,8690,single_frames_img/008690/camera_front_blur/008690_india_2020-11-16T12:55:24.000999Z.jpg,india
15,10090,single_frames_img/010090/camera_front_blur/010090_india_2020-11-16T13:20:44.226826Z.jpg,india
16,10153,single_frames_img/010153/camera_front_blur/010153_india_2020-07-24T10:44:55.447235Z.jpg,india
17,10194,single_frames_img/010194/camera_front_blur/010194_india_2020-07-24T10:20:51.556408Z.jpg,india
18,11276,single_frames_img/011276/camera_front_blur/011276_india_2020-10-08T09:25:15.777735Z.jpg,india
19,11524,single_frames_img/011524/camera_front_blur/011524_golf_2020-10-08T07:49:55.446856Z.jpg,golf
20,11607,single_frames_img/011607/camera_front_blur/011607_india_2020-07-24T09:18:43.994225Z.jpg,india
21,12560,single_frames_img/012560/camera_front_blur/012560_golf_2020-10-09T10:57:05.781632Z.jpg,golf
22,12778,single_frames_img/012778/camera_front_blur/012778_india_2020-11-16T12:51:53.998401Z.jpg,india
23,13284,single_frames_img/013284/camera_front_blur/013284_golf_2020-10-08T07:47:13.444858Z.jpg,golf
24,13904,single_frames_img/013904/camera_front_blur/013904_india_2020-11-16T15:21:37.115929Z.jpg,india
25,13958,single_frames_img/013958/camera_front_blur/013958_india_2020-10-09T14:42:56.331756Z.jpg,india
26,13961,single_frames_img/013961/camera_front_blur/013961_golf_2020-10-08T07:32:26.668304Z.jpg,golf
27,14922,single_frames_img/014922/camera_front_blur/014922_india_2020-07-24T06:55:15.665364Z.jpg,india
28,15907,single_frames_img/015907/camera_front_blur/015907_india_2020-10-09T14:42:57.998494Z.jpg,india
29,16001,single_frames_img/016001/camera_front_blur/016001_india_2020-07-24T10:52:50.888594Z.jpg,india
30,16389,single_frames_img/016389/camera_front_blur/016389_golf_2020-10-09T10:13:38.112679Z.jpg,golf
31,16870,single_frames_img/016870/camera_front_blur/016870_india_2020-07-24T06:07:46.885489Z.jpg,india
32,17305,single_frames_img/017305/camera_front_blur/017305_golf_2020-10-08T08:03:43.556621Z.jpg,golf
33,18017,single_frames_img/018017/camera_front_blur/018017_golf_2020-10-08T07:34:20.669437Z.jpg,golf
34,18176,single_frames_img/018176/camera_front_blur/018176_golf_2020-10-09T06:55:24.885035Z.jpg,golf
35,18447,single_frames_img/018447/camera_front_blur/018447_golf_2020-10-08T07:35:52.670475Z.jpg,golf
36,18578,single_frames_img/018578/camera_front_blur/018578_india_2020-07-24T09:22:22.997917Z.jpg,india
37,18922,single_frames_img/018922/camera_front_blur/018922_india_2020-07-24T09:04:11.779717Z.jpg,india
38,18942,single_frames_img/018942/camera_front_blur/018942_india_2020-07-24T09:24:14.333019Z.jpg,india
39,19554,single_frames_img/019554/camera_front_blur/019554_india_2020-10-16T07:24:37.446688Z.jpg,india
40,19652,single_frames_img/019652/camera_front_blur/019652_golf_2020-10-09T10:53:38.112074Z.jpg,golf
41,20071,single_frames_img/020071/camera_front_blur/020071_india_2020-10-09T08:27:46.115065Z.jpg,india
42,20100,single_frames_img/020100/camera_front_blur/020100_india_2021-04-15T15:05:13.332063Z.jpg,india
43,20643,single_frames_img/020643/camera_front_blur/020643_golf_2020-10-08T07:34:35.669771Z.jpg,golf
44,20669,single_frames_img/020669/camera_front_blur/020669_golf_2020-10-09T10:15:01.113763Z.jpg,golf
45,20777,single_frames_img/020777/camera_front_blur/020777_india_2021-04-14T14:25:42.669041Z.jpg,india
46,20884,single_frames_img/020884/camera_front_blur/020884_india_2020-10-08T09:25:03.444228Z.jpg,india
47,21082,single_frames_img/021082/camera_front_blur/021082_golf_2020-10-09T06:58:59.554253Z.jpg,golf
48,21822,single_frames_img/021822/camera_front_blur/021822_golf_2020-10-09T07:56:26.999550Z.jpg,golf
49,22463,single_frames_img/022463/camera_front_blur/022463_india_2020-11-16T12:51:02.996515Z.jpg,india
50,22823,single_frames_img/022823/camera_front_blur/022823_india_2020-10-14T07:16:00.106612Z.jpg,india
51,23139,single_frames_img/023139/camera_front_blur/023139_india_2020-07-24T07:33:26.003184Z.jpg,india
